KPI_Name,Source,Consignee,Consignee_Name,Parent_Name,Last Estimated Ocean Arrival Date,Country_Name,Last Estimated Ocean Arrival Location,Last Actual Ocean Arrival Date,Carrier Release Date (UTC),CBL Number,Carrier SCAC,Week,OnTime/Delay_ Status,CBL_Number_Count,On-Time_Count,Delay_Count,On_Time_Percentage
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU246553869,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247876985,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,14-02-2025,Netherlands,NLROT,14-02-2025,,MAEU247106488,MAEU,202507,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,21-01-2025,France,FRFSM,21-01-2025,,MAEU246379757,MAEU,202504,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,04-02-2025,France,FRFSM,04-02-2025,,MAEU273590915,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,USKITCHE54HQ,Kitchenaid Global LLC,WHIRLPOOL CORP,03-01-2025,United States,USLGB,03-01-2025,,MEDUOE739505,MSCU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,31-12-2024,Denmark,DKAAR,31-12-2024,,MAEU245490301,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,03-01-2025,France,FRFSM,03-01-2025,,MAEU245498717,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,France,FRFSM,08-01-2025,,MAEU245498730,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU245939684,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU246988896,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU246697000,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU248045472,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU248178913,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,27-01-2025,Denmark,DKKAL,26-01-2025,,MAEU246861682,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,15-01-2025,France,FRFSM,15-01-2025,,MAEU246211356,MAEU,202503,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,28-01-2025,France,FRFSM,28-01-2025,,MAEU246584957,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,07-01-2025,Netherlands,NLROT,07-01-2025,,MAEU246135506,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,03-02-2025,Netherlands,NLROT,03-02-2025,,MAEU273591125,MAEU,202506,Delay,4,,4.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,31-12-2024,Denmark,DKAAR,31-12-2024,,MAEU245936235,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU246197367,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU278775772,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,29-01-2025,Denmark,DKAAR,29-01-2025,,MAEU246428019,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU246448857,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,29-12-2024,Netherlands,NLROT,29-12-2024,,MAEU246379832,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,09-02-2025,Netherlands,NLROT,09-02-2025,,MAEU273591203,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,22-02-2025,Netherlands,NLROT,22-02-2025,,MAEU248234122,MAEU,202508,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,01-02-2025,Netherlands,NLROT,01-02-2025,,MAEU246949092,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,USKITCHE54HQ,Kitchenaid Global LLC,WHIRLPOOL CORP,01-03-2025,Canada,CAPRR,28-02-2025,18-02-2025,MAEU248492545,MAEU,202509,On_Time,3,3.0,,100.0
